smiles,standardized_value
COC1CN(C(C)=O)CCCN(C(=O)Cc2c[nH]c3ccccc23)CCCCOCC(O)C1O,-6.921
CCC(C)C1NC(=O)CC(C(=O)NCc2ccc(CN3CCCC3=O)cc2)NC(=O)c2ccccc2OCCN(C)C1=O,-7.0
CN(Cc1ccccc1)C(=O)c1ccc2c(c1)Cc1cccc(c1)CN(C1CCOCC1)CCOCCO2,-5.499
CN1CCCCN(C(=O)C2CCOCC2)CCCOc2ccc(Cl)cc2C1=O,-5.745
CC(C)N(Cc1ccccc1)C(=O)CN1CCOC2(C/C=C/Cc3ccccc3OCCNC2=O)C1,-5.6
O=C(Cc1ccc(F)cc1)N1CCCCC2(CCN(Cc3ccccn3)CC2)C(=O)OCC(O)C(O)CC1,-6.237
CCOc1cccc2c1OCCCCCNC(=O)CN(C(=O)CC1CCN(C)CC1)C2,-6.824
CN1CCCCN(C(=O)c2c(F)cccc2F)C(Cc2ccccc2)COc2ccccc2C1=O,-5.208
O=C1CCCOc2ccccc2CCCCC2(CCN(C(=O)COc3ccccc3-n3cnnc3C3CC3)CC2)CN1,-6.509
O=C(c1csc(Cc2ccccc2)n1)N1CCOC2(CCCCc3ccccc3OCCNC2=O)C1,-5.575
CN1CC2(CCN(C(=O)c3cc[nH]n3)CC2)CC(O)C(O)Cc2ccccc2OCC1=O,-7.046
CC1(NC(=O)CN2CCOC3(C/C=C/Cc4ccccc4OCCNC3=O)C2)CCS(=O)(=O)C1,-6.102
CC(C)C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NCCCCCCN(C)C1=O,-4.6
CN(C)CCCCNC(=O)C1CC(=O)NC(Cc2ccccc2)C(=O)NCCOc2ccccc2C(=O)N1,-7.699
COCC12CCCCN(C(=O)Cc3c[nH]c4ccccc34)CCOc3ccccc3C(=O)N(CC1)CC2,-5.618
Cc1ccccc1CN1CCC2(CCCCOCC(C)NC(=O)C(CC(C)C)NC2=O)CC1,-4.694
COCCNC(=O)Cc1ccc2c(c1)CN(Cc1ccccc1)CC(=O)NCCCCCO2,-5.297
COCC12CCCCN(C(=O)CCc3ccccc3OC)CCOc3ccccc3C(=O)N(CC1)CC2,-4.849
CCn1nc(C(=O)N2CCC3(CCCCCCOc4ccccc4C(=O)NC3)CC2)cc1C,-5.357
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)COc3cc(C)nc4ccccc34)CCO2)C1=O,-6.056
COC1CN(C(C)=O)CCCN(Cc2ccc3ncccc3c2)CCCCOCC(O)C1O,-6.585
CCCCN1CCOc2ccccc2C(=O)NC(C(=O)NC2CCCOC2)CC(=O)NC(Cc2ccccc2)C1=O,-6.481
COc1ccc(OCCNC(=O)C2CCC(=O)NC(C)C(=O)N(C)C(Cc3ccccc3)COc3ccccc3C(=O)N2)cc1,-7.699
CCN(CCO)C(=O)c1ccc2c(c1)CN(CC(C)C)CCCCCCCN2C(C)=O,-5.137
O=C(c1ccc2c(c1)Cc1cccc(c1)CN(C1CCOCC1)CCOCCO2)N1CC(O)C1,-7.699
CCCN1CCCCN(S(=O)(=O)c2c(F)cccc2F)C2CCCCC2Oc2ccccc2C1=O,-6.432
CC(C)C1COc2ccccc2C(=O)NC(C(=O)NCCc2ccncc2)CCC(=O)NC(C(C)C)C(=O)N1,-7.097
CN1CCOc2ccccc2C(=O)NC(C(=O)NCc2cccc(CN3CCCC3=O)c2)CCC(=O)N2CCCC2C1=O,-6.036
CCN1CCOc2ccccc2C(=O)NC(C(=O)NCCOc2ccc(Cl)cc2)CC(=O)NC(Cc2ccccc2)C1=O,-5.8835
COCC12CCCCN(C(=O)c3ccnn3C)CCOc3ccccc3C(=O)N(CC1)CC2,-5.449
COc1ccc(/C=C/C(=O)N2CCCCOCC(O)C(O)C(OC)CN(C(=O)c3ccccc3F)CC2CC(C)C)cc1OC,-6.602
CC(=O)N[C@H]1CC(=O)OCc2cnc(s2)SC2=C3O[C@H](C)[C@H](NC(=O)[C@@H]4CCCN4C1=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N[C@H]1CS[C@@]3(NC1=O)C(F)(F)C2(F)F,-6.759450752
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)Cc3ccc(F)cc3)CCO2)C1=O,-6.26
CC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)CC(C(=O)NCCN2CCCCCC2)NC(=O)c2ccccc2OCCNC1=O,-7.523
COc1cccc(OCC(=O)N2CCCCC3(CO)CCN(CC3)C(=O)c3ccccc3OCC2)c1,-6.886
CNC(=O)C12CCCCN(C(=O)c3ccc(OC)nc3)CCOc3ccccc3C(=O)N(CC1)CC2,-6.495
CC1NC(=O)CC(C(=O)NCc2cccc(CN3CCCC3=O)c2)NC(=O)c2ccccc2OCC(Cc2ccccc2)N(C)C1=O,-6.699
CCOc1ccc(CN2CCC3(CCCCOCC(C)NC(=O)C(CC(C)C)NC3=O)CC2)cc1,-5.069
CCN1CCCC1CNC(=O)C1CC(=O)NC(Cc2ccccc2)C(=O)NCCOc2ccccc2C(=O)N1,-7.523
O=C(NCC(=O)N1CCOC2(CCCCc3ccccc3OCCNC2=O)C1)c1ccccc1,-6.237
O=C(c1ccncn1)N1CCOC2(CCCCc3ccccc3OCCNC2=O)C1,-5.893
COCCN1CCN(C(=O)C2CCC(=O)N(C)CC(=O)N(C)C(Cc3ccccc3)COc3ccccc3C(=O)N2)CC1,-7.699
CN1CCC2(CCCCN(C(=O)c3ccc4c(c3)OCO4)CCC(O)C(O)COC2=O)CC1,-6.602
CN1CCC2(CCCCN(C(=O)c3ccc(N)nc3)CCC(O)C(O)COC2=O)CC1,-7.0
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CCc3cccnc3)CCO2)C1=O,-5.474
Cc1ccncc1NC(=O)CN1CCCCCCOc2ccccc2Oc2ncccc2C1,-6.77
CC(C)C[C@@H]1NCCCCCCNC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC1=O,-4.5
CC(C)N1CC(=O)NCCCCCOc2ccc(CCC(=O)N3CCC(O)CC3)cc2C1,-6.886
CC(=O)N1CCCCCCCN(C(C)C)Cc2cc(C(=O)NC3CCOCC3)ccc21,-5.413
Cc1nc(C)c(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OCCCC2)s1,-5.379
CCn1cc(C(=O)N2CCCCOc3ccc(Cl)cc3C(=O)N(C)C(Cc3ccccc3)C(=O)N(C)CCCC2)cn1,-5.599
CN1CCCCCOc2ccc(C(=O)NCCn3nccc3NS(C)(=O)=O)cc2Cc2cccc(c2)C1,-7.398
CC(C)C1COc2ccccc2C(=O)NC/C=C/CC2(CCN(CC(=O)Nc3ccc(F)cc3)CC2)C(=O)N1,-6.854
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3cc(CC)on3)CCO2)C1=O,-6.167
CN1CC2(CCCCc3ccccc3OCC1=O)CCN(C(=O)c1cnccn1)CC2,-5.148
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)COc3ccc(F)cc3)CCO2)C1=O,-6.481
O=C1CN(Cc2ccccc2)Cc2c(cccc2C(=O)N2CCNC(=O)C2)OCCCCCN1,-8.0
CC(C)C1NC(=O)CC(C(=O)NCC2(c3cccc(F)c3)CCOCC2)NC(=O)c2ccccc2OCCN(C)C1=O,-6.6259999999999994
CCCN1CCCCN(C(=O)C(CC)CC)C2CCCCC2Oc2ccccc2C1=O,-5.32
CC1(C)CCCN(CC(=O)NCc2ccc(Cl)cc2)Cc2cccnc2Oc2ccccc2OC1,-6.638
Cc1ccc(CN(CC2CCCO2)C(=O)CCc2ccc3c(c2)CN(C(C)C)CC(=O)NCCCCCO3)s1,-5.558
CCN(CC)C(=O)c1ccc2c(c1)CN(CC(C)C)CCCCCCCN2C(C)=O,-5.81
Cc1ccnc(C2CCCN2C(=O)CN2CCC3(CCCCc4ccccc4OCCCNC3=O)CC2)n1,-7.222
Cn1cnc(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OCCCC2)c1,-6.921
CC(C)CC1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccc3ccccc3n2)CC(=O)N1,-5.7645
O=C(c1ccc2c(c1)OCO2)N1CCCCC2(CCN(Cc3ccccc3)CC2)C(=O)OCC(O)C(O)CC1,-5.754
CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N1C,-5.45
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3ccc(F)cc3F)CCO2)C1=O,-5.914
CC(C)CCOC1CN(C(=O)c2ccccc2F)CCN(C(=O)C(N)CCCCN)CCCCOCC(O)C1O,-7.155
COC1CN(C(C)=O)CCCN(C(=O)c2cccc(C)n2)CCCCOCC(O)C1O,-6.77
CN1CCOc2ccccc2C(=O)NC(C(=O)NCCOc2ccc(Cl)cc2)CC(=O)NC(Cc2ccccc2)C1=O,-5.873
CCOc1ccc(CCCNC(=O)C2CC(=O)NC(CC(C)C)C(=O)N(CC)CCOc3ccccc3C(=O)N2)cc1OC,-6.1525
CC(O)C1NC(=O)CC(C(=O)NCC2CC2)NC(=O)c2ccccc2OCCN(C)C1=O,-7.523
Cn1cc(CC(=O)N2CCCCC3(COc4cccnc4)CCN(CC3)C(=O)c3ccccc3OCC2)c2ccccc21,-5.428
COCC12CCCCN(C(C)=O)CCOc3ccccc3C(=O)N(CC1)CC2,-5.9
Cc1cncc(NC(=O)CN2CCCCCCOc3ccccc3Oc3ncccc3C2)c1,-5.936
CCc1ccc(C(=O)N2CCOC3(CCCCc4ccccc4OCCN(C)C3=O)C2)cc1,-5.947
